epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,4923.24,1.19135,0.75825,1.21176,0.90803,0.83796,0.92114,0.64222,0.96022,0.55537,1.09944,0.00032155,0.00032155,0.00032155
43,5039.49,1.17309,0.76096,1.20318,0.91696,0.79266,0.9037,0.63606,0.95675,0.57946,1.1096,0.000314051,0.000314051,0.000314051
44,5156.18,1.1731,0.75293,1.2003,0.92303,0.82802,0.92017,0.6427,0.95249,0.55498,1.09809,0.00030649,0.00030649,0.00030649
45,5272.99,1.18716,0.76553,1.20737,0.91128,0.83398,0.91915,0.64185,0.95137,0.54918,1.10359,0.000298877,0.000298877,0.000298877
46,5389.71,1.16672,0.7547,1.20489,0.91743,0.82062,0.91581,0.6427,0.94669,0.55624,1.09763,0.000291218,0.000291218,0.000291218
47,5506.14,1.17288,0.75131,1.19732,0.9186,0.8294,0.92034,0.64578,0.94429,0.55408,1.09649,0.00028352,0.00028352,0.00028352
48,5622.19,1.17757,0.76322,1.20953,0.91128,0.82714,0.9185,0.64428,0.93957,0.55443,1.09338,0.000275792,0.000275792,0.000275792
49,5739.07,1.14855,0.74775,1.18545,0.88342,0.82218,0.90734,0.64128,0.9325,0.5602,1.08724,0.000268041,0.000268041,0.000268041
50,5855.65,1.16621,0.74213,1.19557,0.88933,0.83917,0.91635,0.64427,0.93782,0.54868,1.0875,0.000260274,0.000260274,0.000260274
51,5972.18,1.16189,0.73893,1.18659,0.89528,0.84349,0.92015,0.64569,0.93598,0.53947,1.08385,0.0002525,0.0002525,0.0002525
52,6089.26,1.16211,0.74155,1.18942,0.90029,0.83221,0.91845,0.64718,0.93346,0.5455,1.08649,0.000244726,0.000244726,0.000244726
53,6205.99,1.16694,0.73465,1.19964,0.90309,0.82977,0.91625,0.64991,0.92229,0.53976,1.07939,0.000236959,0.000236959,0.000236959
54,6322.49,1.14957,0.72865,1.18355,0.91172,0.8243,0.91679,0.65131,0.92017,0.5412,1.07624,0.000229208,0.000229208,0.000229208
55,6438.89,1.16931,0.74806,1.20224,0.91418,0.82686,0.91849,0.65239,0.91732,0.53249,1.07596,0.00022148,0.00022148,0.00022148
56,6555.6,1.15017,0.72325,1.18454,0.89879,0.83113,0.91673,0.65204,0.91542,0.53338,1.07482,0.000213782,0.000213782,0.000213782
57,6672.46,1.15585,0.73104,1.19036,0.89716,0.83337,0.91736,0.65055,0.92243,0.538,1.07785,0.000206123,0.000206123,0.000206123
58,6789.32,1.14396,0.72737,1.17898,0.90272,0.83814,0.91888,0.65296,0.91162,0.53048,1.0708,0.00019851,0.00019851,0.00019851
59,6906.02,1.13755,0.71887,1.18142,0.91363,0.8356,0.92279,0.65591,0.90469,0.51859,1.06908,0.000190949,0.000190949,0.000190949
60,7022.73,1.14109,0.72648,1.18107,0.91008,0.82635,0.91784,0.65611,0.8989,0.5238,1.06462,0.00018345,0.00018345,0.00018345
61,7139.43,1.139,0.72802,1.17733,0.91792,0.83805,0.92436,0.65788,0.9022,0.52101,1.06519,0.000176018,0.000176018,0.000176018
62,7255.82,1.12688,0.71281,1.16933,0.91208,0.82628,0.91885,0.65642,0.90366,0.52136,1.06663,0.000168662,0.000168662,0.000168662
63,7372.15,1.13646,0.71765,1.17816,0.91609,0.83199,0.92302,0.65763,0.90268,0.51772,1.06703,0.000161389,0.000161389,0.000161389
64,7488.34,1.13077,0.71318,1.17152,0.91106,0.84862,0.92724,0.65914,0.89429,0.51387,1.0599,0.000154206,0.000154206,0.000154206
65,7604.54,1.13448,0.71554,1.17687,0.90188,0.84305,0.92206,0.65577,0.90237,0.51861,1.06562,0.00014712,0.00014712,0.00014712
66,7721.55,1.11989,0.70876,1.17162,0.90045,0.83306,0.91753,0.6568,0.89179,0.52224,1.06049,0.000140137,0.000140137,0.000140137
67,7837.74,1.13383,0.71228,1.17441,0.90435,0.8311,0.91611,0.6565,0.89088,0.52387,1.06161,0.000133266,0.000133266,0.000133266
68,7953.24,1.14057,0.72338,1.18314,0.89757,0.83591,0.91745,0.65704,0.89446,0.52557,1.06308,0.000126512,0.000126512,0.000126512
69,8069.88,1.11317,0.7048,1.16255,0.89634,0.82873,0.91494,0.65678,0.89295,0.52758,1.06288,0.000119883,0.000119883,0.000119883
70,8186.86,1.12699,0.70847,1.17635,0.90018,0.84015,0.92029,0.66028,0.88684,0.51435,1.05791,0.000113384,0.000113384,0.000113384
71,8303.56,1.11451,0.7107,1.16941,0.90279,0.83894,0.92073,0.66042,0.88582,0.51161,1.05495,0.000107023,0.000107023,0.000107023
72,8420.31,1.13512,0.72068,1.17166,0.90659,0.83738,0.92185,0.66286,0.88159,0.51013,1.05292,0.000100806,0.000100806,0.000100806
73,8536.83,1.11017,0.71003,1.16182,0.914,0.83663,0.92348,0.66324,0.88221,0.50607,1.05054,9.47376e-05,9.47376e-05,9.47376e-05
74,8653.62,1.11271,0.68952,1.16897,0.91784,0.8408,0.92614,0.6654,0.87767,0.50208,1.05328,8.88253e-05,8.88253e-05,8.88253e-05
75,8770.29,1.10133,0.68038,1.15888,0.90736,0.84309,0.9251,0.66507,0.87884,0.50481,1.05114,8.30746e-05,8.30746e-05,8.30746e-05
76,8886.66,1.1237,0.69809,1.17046,0.90154,0.83979,0.92029,0.6634,0.87587,0.50741,1.05029,7.74911e-05,7.74911e-05,7.74911e-05
77,9003.34,1.10879,0.69049,1.16233,0.91249,0.83412,0.92168,0.66568,0.87413,0.50454,1.04828,7.20803e-05,7.20803e-05,7.20803e-05
78,9120.65,1.11863,0.69401,1.16391,0.91186,0.8456,0.92686,0.6665,0.87416,0.4997,1.04932,6.68475e-05,6.68475e-05,6.68475e-05
79,9237.29,1.10184,0.69022,1.15508,0.91194,0.85006,0.92968,0.66818,0.87288,0.49508,1.04806,6.1798e-05,6.1798e-05,6.1798e-05
80,9353.79,1.11732,0.68945,1.1663,0.91202,0.84907,0.92908,0.66833,0.87452,0.49452,1.04991,5.69366e-05,5.69366e-05,5.69366e-05
81,9471.73,1.11664,0.70712,1.162,0.90954,0.84568,0.92657,0.66818,0.87157,0.49821,1.04723,5.22683e-05,5.22683e-05,5.22683e-05
82,9587.61,1.09563,0.68788,1.15109,0.91219,0.8463,0.92754,0.66868,0.87107,0.49518,1.04647,4.77976e-05,4.77976e-05,4.77976e-05
83,9704.58,1.11343,0.69124,1.16625,0.9116,0.84046,0.92513,0.66811,0.86725,0.49901,1.04557,4.35288e-05,4.35288e-05,4.35288e-05
84,9821.1,1.11092,0.69168,1.15746,0.91394,0.84452,0.9274,0.66944,0.867,0.49493,1.04467,3.94663e-05,3.94663e-05,3.94663e-05
